measurement_id,experiment_id,formulation_id,source_id,sample_id,measurement_stage,property_name_normalized,value,qualifier,value_min,value_max,unit,temperature_c,time_value,time_unit,condition,evidence_type,evidence_locator,quality_level,source_url,notes
M_WANG2026_BDO4_T3_VISC,WANG2026_BDO4_R2,F_WANG2026_BDO4_R2,CN_JRN_WANG2026_PAE,BDO-PUR,hot_melt,melt_viscosity,20400,,,,mPa.s,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_BDO4_INITPEEL,WANG2026_BDO4_R2,F_WANG2026_BDO4_R2,CN_JRN_WANG2026_PAE,BDO-PUR,hot_melt,initial_peel_strength,2.01,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_BDO4_ULTPEEL,WANG2026_BDO4_R2,F_WANG2026_BDO4_R2,CN_JRN_WANG2026_PAE,BDO-PUR,cured_other,ultimate_peel_strength,125,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_T3_VISC,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-PUR,hot_melt,melt_viscosity,2510,,,,mPa.s,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_INITPEEL,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-PUR,hot_melt,initial_peel_strength,2.67,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_ULTPEEL,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-PUR,cured_other,ultimate_peel_strength,178,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_INITPEEL,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,hot_melt,initial_peel_strength,3,,,,N/25mm,,,,,measured,Abstract,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_ULTPEEL,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,cured_other,ultimate_peel_strength,198,,,,N/25mm,,,,,measured,Abstract,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_LIU2025_INIT,LIU2025_ALPVC_OPT,F_LIU2025_ALPVC_OPT,CN_JRN_LIU2025_ALPVC,optimum,hot_melt,initial_peel_strength,18.6,,,,N/25mm,,,,,measured,Official abstract,A,https://pmse.scu.edu.cn/gfzclkxygc/article/abstract/20250501,
M_LIU2025_FINAL,LIU2025_ALPVC_OPT,F_LIU2025_ALPVC_OPT,CN_JRN_LIU2025_ALPVC,optimum,cured_other,ultimate_peel_strength,49.7,,,,N/25mm,,,,,measured,Official abstract,A,https://pmse.scu.edu.cn/gfzclkxygc/article/abstract/20250501,
M_LIU2025_TDECOMP,LIU2025_ALPVC_OPT,F_LIU2025_ALPVC_OPT,CN_JRN_LIU2025_ALPVC,optimum,cured_other,initial_decomposition_temperature,297,,,,C,,,,,measured,Official abstract,A,https://pmse.scu.edu.cn/gfzclkxygc/article/abstract/20250501,
M_LIU2025_RHEO_STABLE,LIU2025_ALPVC_OPT,F_LIU2025_ALPVC_OPT,CN_JRN_LIU2025_ALPVC,optimum,hot_melt,rheology_stability,1,,,,boolean,120,600,s,viscosity changed little during 600 s operation window,reported,Official abstract,B,https://pmse.scu.edu.cn/gfzclkxygc/article/abstract/20250501,
M_XIAO2025_VISC,XIAO2025_HITEMP_OPT,F_XIAO2025_HITEMP_OPT,CN_JRN_XIAO2025_HITEMP,optimum,hot_melt,melt_viscosity,7400,,,,mPa.s,110,,,,measured,CATIA China 2025 issue 9 abstract,A,https://www.catia-china.com/post.html?id=68e8629679ec76608c11100f,
M_XIAO2025_SHEAR,XIAO2025_HITEMP_OPT,F_XIAO2025_HITEMP_OPT,CN_JRN_XIAO2025_HITEMP,optimum,cured_other,shear_strength,11.51,,,,MPa,,,,,measured,CATIA China 2025 issue 9 abstract,A,https://www.catia-china.com/post.html?id=68e8629679ec76608c11100f,
M_XIAO2025_HOT_SHEAR,XIAO2025_HITEMP_OPT,F_XIAO2025_HITEMP_OPT,CN_JRN_XIAO2025_HITEMP,optimum,cured_other,shear_strength_high_temperature,2.42,,,,MPa,,,,high-temperature condition; exact test temperature not stated in abstract snippet,measured,CATIA China 2025 issue 9 abstract,A,https://www.catia-china.com/post.html?id=68e8629679ec76608c11100f,
M_XIAO2025_AGING_RET,XIAO2025_HITEMP_OPT,F_XIAO2025_HITEMP_OPT,CN_JRN_XIAO2025_HITEMP,optimum,cured_other,shear_strength_retention,85,,,,%,120,,,after high-temperature aging; duration not stated in abstract,measured,CATIA China 2025 issue 9 abstract,A,https://www.catia-china.com/post.html?id=68e8629679ec76608c11100f,
M_ZHAN2008_OPEN,ZHAN2008_OPT,F_ZHAN2008_OPT,CN_JRN_ZHAN2008_ONECOMP,optimum,hot_melt,open_time,7,,,,min,,,,,measured,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,
M_ZHAN2008_CURE,ZHAN2008_OPT,F_ZHAN2008_OPT,CN_JRN_ZHAN2008_ONECOMP,optimum,cured_other,curing_time,24,,,,h,,,,,measured,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,
M_ZHAN2008_TENS,ZHAN2008_OPT,F_ZHAN2008_OPT,CN_JRN_ZHAN2008_ONECOMP,optimum,cured_other,tensile_strength,9.3,,,,MPa,,,,,measured,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,
M_ZHAN2008_INIT,ZHAN2008_OPT,F_ZHAN2008_OPT,CN_JRN_ZHAN2008_ONECOMP,optimum,hot_melt,initial_bond_strength,0.44,,,,MPa,,,,,measured,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,
M_ZHAN2008_SHEAR,ZHAN2008_OPT,F_ZHAN2008_OPT,CN_JRN_ZHAN2008_ONECOMP,optimum,cured_other,shear_strength,7.9,,,,MPa,,,,,measured,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,
M_CONG2022_VISC_RANGE,CONG2022_PHONE_RANGE,F_CONG2022_PHONE_RANGE,CN_JRN_CONG2022_PHONE,recommended_window,hot_melt,melt_viscosity,,range,1700,6000,mPa.s,120,,,,reported,CATIA China 2022 issue 4 abstract,B,https://catia-china.com/post.html?id=6266508f79ec76091c70505e,
M_CONG2022_OPEN_RANGE,CONG2022_PHONE_RANGE,F_CONG2022_PHONE_RANGE,CN_JRN_CONG2022_PHONE,recommended_window,hot_melt,open_time,,range,1,9,min,,,,,reported,CATIA China 2022 issue 4 abstract,B,https://catia-china.com/post.html?id=6266508f79ec76091c70505e,
M_QIU2026_VISC,,,CN_JRN_QIU2026_UNDERWEAR,optimum,hot_melt,melt_viscosity,5880,,,,mPa.s,130,,,,reported,Public abstract/search excerpt,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,
M_QIU2026_DRY,,,CN_JRN_QIU2026_UNDERWEAR,optimum,hot_melt,surface_drying_time,23,,,,s,,,,,reported,Public abstract/search excerpt,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,
M_QIU2026_PEEL,,,CN_JRN_QIU2026_UNDERWEAR,optimum,cured_other,peel_strength,48,,,,N/25mm,,,,,reported,Public abstract/search excerpt,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,
M_QIU2026_SHORE,,,CN_JRN_QIU2026_UNDERWEAR,optimum,cured_other,shore_a_hardness,71,,,,Shore A,,,,,reported,Public abstract/search excerpt,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,
M_YE2019_NCO_OPT,,,CN_JRN_YE2019_FACTORS,reported optimum,hot_melt,optimal_nco_content,1.6,,,,wt.%,,,,,reported,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/84cf9911242456794adaebf00ae036ba,Abstract states 1.6 wt.% NCO gave better overall performance.
M_YE2019_CAT_THRESH,,,CN_JRN_YE2019_FACTORS,reported threshold,during_reaction,catalyst_loading_threshold,0.1,,,,wt.%,,,,,reported,Official abstract,B,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/84cf9911242456794adaebf00ae036ba,"Above 0.10 wt.% catalyst, same-time bond strength showed no obvious difference."
